30.26,62.34,1254
30.36,62.04,1260
30.46,61.85,1264
30.56,61.85,1264
30.66,61.36,1274
30.86,61.26,1276
30.96,61.22,1277
31.06,61.12,1279
31.16,61.22,1277
31.26,61.60,1269
31.36,61.55,1270
31.46,61.80,1265
31.66,61.80,1265
31.76,61.80,1265
31.86,62.09,1259
31.96,62.34,1254
32.06,61.99,1261
32.16,62.09,1259
32.36,61.99,1261
32.46,62.04,1260
32.56,62.19,1257
32.66,62.24,1256
32.76,62.09,1259
32.86,62.14,1258
33.06,62.09,1259
33.16,62.04,1260
33.26,62.04,1260
33.36,62.04,1260
33.46,61.89,1263
33.56,61.99,1261
33.66,61.85,1264
33.86,61.60,1269
33.96,61.65,1268
34.06,61.70,1267
34.16,61.65,1268
34.26,61.80,1265
34.36,61.65,1268
34.46,61.80,1265
34.66,61.80,1265
34.76,61.99,1261
34.86,61.94,1262
34.96,61.99,1261
35.06,61.80,1265
35.16,61.89,1263
35.36,61.89,1263
35.46,61.80,1265
35.56,61.75,1266
35.66,61.85,1264
35.76,61.60,1269
35.86,61.75,1266
35.96,61.75,1266
36.16,61.60,1269
36.26,61.60,1269
36.36,61.65,1268
36.46,61.51,1271
36.56,61.70,1267
36.66,61.55,1270
36.86,61.60,1269
36.96,61.55,1270
37.06,61.65,1268
37.16,61.70,1267
37.26,61.75,1266
37.36,62.19,1257
37.46,62.89,1243
37.66,63.66,1228
37.76,64.87,1205
37.86,65.86,1187
37.96,67.22,1163
38.06,68.57,1140
38.16,69.80,1120
38.36,71.65,1091
38.46,72.52,1078
38.56,73.13,1069
38.66,73.68,1061
38.76,74.45,1050
38.86,75.09,1041
38.96,75.90,1030
39.16,76.64,1020
39.26,77.32,1011
39.36,77.78,1005
39.46,78.41,997
39.56,78.88,991
39.66,79.52,983
39.86,79.77,980
39.96,80.01,977
40.06,80.18,975
40.16,80.26,974
40.26,80.18,975
40.36,80.18,975
40.46,80.26,974
40.66,80.42,972
40.76,80.76,968
40.86,80.59,970
40.96,80.51,971
41.06,80.51,971
41.16,80.84,967
41.26,81.09,964
41.46,81.26,962
41.56,81.26,962
41.66,81.35,961
41.76,81.51,959
41.86,81.94,954
42.06,82.46,948
42.16,82.64,946
42.26,82.64,946
42.36,82.72,945
42.46,82.46,948
42.56,82.90,943
42.66,82.46,948
42.76,82.37,949
42.96,82.29,950
43.06,82.20,951
43.16,82.03,953
43.26,81.94,954
43.36,82.03,953
43.46,81.86,955
43.66,82.11,952
43.76,82.20,951
43.86,82.20,951
43.96,82.20,951
44.06,81.94,954
44.16,82.03,953
44.26,82.29,950
44.46,82.29,950
44.56,82.20,951
44.66,82.20,951
44.76,82.29,950
44.86,82.37,949
44.96,82.64,946
45.16,82.55,947
45.26,82.37,949
45.36,82.29,950
45.46,82.03,953
45.56,81.86,955
45.66,81.86,955
45.86,81.51,959
45.96,81.01,965
46.06,80.51,971
46.16,80.26,974
46.26,80.01,977
46.36,79.85,979
46.46,79.69,981
46.66,78.88,991
46.76,78.02,1002
46.86,77.48,1009
46.96,77.02,1015
47.06,76.12,1027
47.16,74.81,1045
47.36,73.61,1062
47.46,72.58,1077
47.56,71.00,1101
47.66,69.49,1125
47.76,67.86,1152
47.86,66.02,1184
47.96,64.39,1214
48.16,62.89,1243
48.26,60.65,1289
48.36,58.73,1331
48.46,56.44,1385
